feature,mean_abs_shap
HU-AT Schedule_t+675min,130.1191139320802
Requested Positive aFRR Balancing Energy (kWh)_t-30min,130.07366472428149
Solar Power Plants Net (Operational Control)_t-270min,129.81388726572726
HU-UA Schedule_t+510min,129.7750222150807
Gross System Load Forecast (Day-Ahead)_t+120min,129.76014793383067
HU-UA Schedule_t+60min,129.7309564958204
HU-AT_t-210min,129.64459034633143
HU-RO_t-120min,129.6055239474676
HU-AT_t-240min,129.49625310319198
Gross Certified System Load (Actual)_t-255min,129.32318554556065
HU-AT Schedule_t+570min,129.31842890610184
Activated Negative aFRR Balancing Energy (kWh)_t-360min,129.27002793393348
HU-UA Schedule_t+630min,129.21447889943562
Estimated Solar Power Production (Day-Ahead)_t+420min,128.9450226408598
HU-AT Schedule_t+690min,128.8991091880013
Gross Certified System Load (Actual)_t-600min,128.33936145474968
HU-HR Schedule_t+60min,128.24594550638133
HU-AT Schedule_t+465min,128.0519469862639
HU-HR_t-375min,127.89322270843013
Gross Actual Power Plant Generation_t-405min,127.7091681305939
Negative GCC Energy (kWh)_t-360min,127.68548258318776
HU-UA_t-585min,127.56843790107412
Gross Actual Power Plant Generation_t-495min,127.52901499891604
Gross Actual Power Plant Generation_t-330min,127.50078898015303
HU-SK Schedule_t+465min,127.30364073503195
System Direction (kWh)_t-90min,127.21866035790936
Activated Negative aFRR Balancing Energy (kWh)_t-540min,127.01751055790996
HU-SK_t-300min,126.77812395739166
Gross System Load Forecast (Day-Ahead)_t+165min,126.23705252872712
Gross Certified System Load (Actual)_t-135min,126.23046142133026
HU-RO Schedule_t+495min,125.94483358279226
Negative GCC Energy (kWh)_t-495min,125.94262795791713
temp_std_t+30min,125.77524075903598
System Direction (kWh)_t-75min,125.54670805164812
HU-UA_t-30min,125.50721060967605
HU-RO Schedule_t+480min,125.46683651725849
Estimated Solar Power Production (Intraday)_t+585min,125.42035119736988
Requested Positive aFRR Balancing Energy (kWh)_t-60min,125.35835490151439
HU-AT Schedule_t+645min,125.33106345943422
Gross Actual Power Plant Generation_t-120min,125.30261028164496
Activated Negative aFRR Balancing Energy (kWh)_t-150min,125.2135362126428
Requested Positive aFRR Balancing Energy (kWh)_t-345min,125.09527113642802
HU-HR Schedule_t+240min,124.90459473674757
10m_wind_speed_mean_t+30min,124.86818124782056
Gross System Load Forecast (Day-Ahead)_t+180min,124.82501692340472
Gross Actual Power Plant Generation_t-600min,124.78062725804122
Estimated Solar Power Production (Intraday)_t+240min,124.60917254672957
System Direction (kWh)_t-600min,124.36734983915453
Estimated Solar Power Production (Day-Ahead)_t+435min,124.10646667650853
HU-AT_t-15min,124.09893187483685
Estimated Solar Power Production (Current)_t+45min,123.99304437751633
HU-UA_t-420min,123.9478873570462
HU-UA Schedule_t+360min,123.85970463568046
HU-HR_t-555min,123.82910495899591
Requested Negative aFRR Balancing Energy (kWh)_t-270min,123.78971350694682
System Direction (kWh)_t-210min,123.78099300178276
Estimated Solar Power Production (Intraday)_t+300min,123.77075760096211
HU-RO_t-150min,123.66008133793655
HU-AT Schedule_t+345min,123.49533505759389
Gross Planned Power Plant Generation_t+420min,123.3230854007368
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-60min,123.23395983743103
HU-AT Schedule_t+720min,123.15717821955252
Solar Power Plants Net (Operational Control)_t-420min,123.06882070322285
Gross Planned Power Plant Generation_t+225min,122.81993407069452
HU-UA Schedule_t+180min,122.78107672026867
Solar Power Plants Net (Operational Control)_t-285min,122.62422914265974
Gross Planned Power Plant Generation,122.58507165541657
Negative GCC Energy (kWh)_t-555min,122.47839929128695
Gross Actual Power Plant Generation_t-510min,122.35411551569345
HU-RO_t-405min,122.01474943338584
Gross Planned Power Plant Generation_t+30min,121.83230349751258
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-75min,121.55455935234913
HU-SK Schedule_t+330min,121.50152241647433
Negative GCC Energy (kWh)_t-405min,121.46112401576288
HU-RS Schedule_t+375min,121.45283900176568
HU-AT Schedule_t+450min,121.33348245838924
Gross Planned Power Plant Generation_t+60min,121.32925934087552
Gross Actual Power Plant Generation_t-315min,121.26823352156573
HU-SK_t-390min,121.16992401402031
10m_wind_speed_mean_t+45min,120.81052035990426
HU-AT Schedule_t+315min,120.71898192916035
HU-RS Schedule_t+585min,120.65318863856434
Estimated Solar Power Production (Day-Ahead)_t+345min,120.38042496119131
Activated Positive aFRR Balancing Energy (kWh)_t-45min,120.36025811762936
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-45min,120.26548019791012
Negative GCC Energy (kWh)_t-90min,120.10362736742552
HU-AT Schedule_t+375min,119.98344851770219
dayofweek,119.9642792951965
Estimated Solar Power Production (Intraday)_t+330min,119.40878252244136
HU-UA_t-60min,119.33203203278003
HU-UA_t-450min,119.24654805702592
Gross Certified System Load (Actual)_t-165min,119.20339483068025
HU-RS Schedule_t+390min,118.87404828242059
Estimated Solar Power Production (Intraday)_t+345min,118.78897173715875
HU-RO_t-285min,118.77910823895077
HU-SK Schedule_t+510min,118.58412866826941
Gross Planned Power Plant Generation_t+150min,118.55000123159236
