,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,System Direction (kWh)_t+15min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,System Direction (kWh)_t+30min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,System Direction (kWh)_t+45min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,System Direction (kWh)_t+60min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,System Direction (kWh)_t+75min
Negative GCC Energy (kWh),0.03542744864511732,0.03571445503561753,0.01581625530951028,0.030747001581230643,0.031578762905501025,0.017939253449531314,0.031053730427129084,0.029888545544511223,0.01681722563181478,0.03055339520539583,0.030496815917133702,0.016664384198151673,0.026965508480139427,0.02805127250036794,0.0146047341432331
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh),0.046629211160022443,0.048555239381137295,0.007172859132406302,0.03538522776389714,0.036520524664699044,0.007009485350491775,0.027702637006735198,0.02843463813370044,0.006106425966480379,0.022690875861035326,0.02232801882406802,0.007078730779977423,0.01682338352022766,0.017570735987723858,0.0077744236864084
Positive GCC Energy (kWh),0.01403504612983561,0.014268113199019763,0.004595361090194455,0.012720462301578209,0.013481806307172156,0.0044513560919763,0.014563017286027649,0.01420168508091465,0.00438404994309268,0.01328271572672229,0.01351936197529221,0.00397928510203975,0.011295592217166816,0.0119333062386253,0.003912227434334432
Requested Negative aFRR Balancing Energy (kWh),0.01954918060832415,0.02072995205677498,0.012627745505274787,0.012416629810428185,0.012725128563631245,0.011702282574291236,0.011041077212889288,0.010616015515534219,0.011028550074491078,0.011291159575899884,0.011920574831757222,0.009481490145602242,0.01267202659382417,0.013285144992794744,0.010271349883684697
Requested Positive aFRR Balancing Energy (kWh),0.01037012585747616,0.010638833990995038,0.007065863310990972,0.008044461202366892,0.008579640682760192,0.006815314801131353,0.007011879830377302,0.006840519173059147,0.004591661969619503,0.007972524991758064,0.008063313554269563,0.005293872311960649,0.007140912906570748,0.0078305816269552,0.00511756124104204
Solar Power Plants Net (Operational Control),0.008865256925097492,0.007404922923338109,0.004388690500068702,0.009732487553354803,0.009700031131342211,0.0039030861853429086,0.011649894215627047,0.012479621916178628,0.004452555663984458,0.013744525588600847,0.013859127270260613,0.00385583332211155,0.01264480638471771,0.01315365472177473,0.004365820298021798
System Direction (kWh),0.006289821272090318,0.006278254416492349,0.05927992056172465,0.0057779145790374286,0.006089799789876212,0.05174176401982268,0.005940519088203076,0.006209731925643268,0.044171443950247836,0.006010654292151821,0.0070043402863107975,0.03748867343313975,0.005821344208624108,0.00651777647586387,0.03218753744142054
UTCdate,0.0053563036900441145,0.004405889485076841,0.009796569588525244,0.006788942682384004,0.0066454035855040275,0.010002729396388077,0.005303298922216527,0.0060095949717022,0.01554324417317548,0.00623877596055172,0.0061386481796276374,0.010322889712238976,0.006249806061593062,0.007113826814357708,0.014244416431533864
Wind Power Actual - Net Commercial Settlement,0.006311676028139403,0.0063391805848774085,0.005385308318568321,0.005658231167489968,0.005680317112247735,0.00446330945592349,0.006020171666545821,0.006110243612803845,0.003191557838922108,0.00801749531802804,0.007548534647650195,0.004003399100885113,0.007170269168856806,0.007503477196103177,0.003724597123208605
Wind Power Actual - Net Operational Control,0.004758989692446131,0.004760462705883026,0.0038801833170330606,0.004889941143173195,0.004853804684183956,0.004097810278745004,0.0055625457974383145,0.005562592825843831,0.004136209755179038,0.006303762541875539,0.005990415733534462,0.0037113946662984515,0.006062083947964368,0.006521306457759647,0.002297968491757766
