feature,mean_abs_shap
HU-UA Schedule_t+105min,143.07519513961853
HU-RS Schedule_t+465min,142.7602698592688
HU-UA_t-390min,142.67938820967817
HU-RO Schedule_t+345min,142.66447582550956
Negative GCC Energy (kWh)_t-525min,142.35126782938733
HU-SK_t-570min,142.16987293355902
HU-RO_t-480min,141.70681982598379
Activated Negative aFRR Balancing Energy (kWh)_t-255min,141.50026279108496
HU-RO Schedule_t+720min,140.96499938907203
HU-UA_t-345min,140.9257225759506
HU-AT Schedule_t+645min,140.89558191169644
HU-HR Schedule_t+270min,140.8668716637073
HU-UA_t-105min,140.70745137627858
Gross Planned Power Plant Generation_t+360min,140.34150663497434
Gross System Load Forecast (Day-Ahead)_t+675min,139.9774923110472
100m_wind_speed_std,139.62500641818716
Estimated Solar Power Production (Day-Ahead)_t+465min,139.42002030276623
HU-UA_t-495min,138.28822284921725
Negative GCC Energy (kWh)_t-270min,137.67307150130756
Gross Actual Power Plant Generation_t-480min,137.5116571721341
HU-UA Schedule_t+630min,137.37799831543836
Estimated Wind Power Production (Day-Ahead)_t+225min,137.33885586377693
HU-RO Schedule_t+75min,137.02372244748673
Negative GCC Energy (kWh)_t-360min,136.99359864950094
Solar Power Plants Net (Operational Control)_t-375min,136.90725903905894
Gross Certified System Load (Actual)_t-315min,136.90057534279848
Estimated Wind Power Production (Day-Ahead)_t+210min,136.28369888984318
HU-SK_t-135min,136.230334665696
Negative GCC Energy (kWh)_t-510min,136.123267390318
HU-HR Schedule_t+240min,136.07232209654518
System Direction (kWh)_t-135min,136.06568236999004
Activated Negative aFRR Balancing Energy (kWh)_t-345min,135.9307509131777
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-375min,135.926022605764
Gross Certified System Load (Actual)_t-450min,135.90832764303644
Activated Negative aFRR Balancing Energy (kWh)_t-420min,135.7434931876687
HU-RO Schedule_t+135min,135.73773816984558
HU-RO Schedule_t+540min,135.6919951191551
Gross Actual Power Plant Generation_t-360min,135.58880461693676
Gross System Load Forecast (Day-Ahead)_t+255min,135.47886630157382
HU-UA Schedule_t+15min,134.79698499049908
HU-RS Schedule_t+450min,134.76981019693488
Requested Negative aFRR Balancing Energy (kWh)_t-420min,134.73118458048674
Negative GCC Energy (kWh)_t-285min,134.72536930455001
HU-AT,134.72023345001136
System Direction (kWh)_t-240min,134.6882600407697
HU-UA_t-480min,134.497705652047
HU-RS Schedule_t+195min,134.40760512696514
Requested Negative aFRR Balancing Energy (kWh)_t-330min,134.32186817492794
Gross System Load Forecast (Day-Ahead)_t+15min,134.30378256061087
HU-UA,133.60057071841396
Activated Negative aFRR Balancing Energy (kWh)_t-330min,133.23932854156956
Gross Actual Power Plant Generation_t-540min,132.83498789692842
HU-UA_t-285min,132.77561927063792
HU-RO_t-330min,132.66570340839547
Activated Positive aFRR Balancing Energy Cost (HUF)_t-90min,132.53711193776599
Gross Planned Power Plant Generation_t+255min,132.51709818812816
Negative GCC Energy (kWh)_t-210min,132.46864435031426
HU-RO_t-405min,132.4663745320408
HU-UA_t-300min,132.3962151973837
HU-UA_t-450min,132.3467602989086
Estimated Wind Power Production (Current)_t+90min,132.34259953858174
