feature,mean_abs_shap
ssrd_mean_t+45min,753.8898035881002
HU-SK Schedule_t+225min,753.5765172831
Gross Planned Power Plant Generation_t+720min,752.1936852476388
HU-UA Schedule_t+330min,752.1888499276441
HU-AT Schedule_t+525min,751.5037436560744
Wind Power Actual - Net Operational Control_t-45min,751.115386990673
Gross Actual Power Plant Generation_t-375min,751.0587274834938
Solar Power Plants Net (Operational Control)_t-240min,750.5855540970081
HU-AT Schedule_t+300min,749.258939735598
dayofweek,748.6403632075966
Gross Actual Power Plant Generation_t-345min,748.5591448421086
Gross System Load Forecast (Day-Ahead)_t+390min,745.4396315404143
Estimated Wind Power Production (Current)_t+195min,744.5870518369316
HU-UA Schedule_t+90min,743.5796742769003
HU-HR Schedule_t+390min,743.5206956295838
Negative GCC Energy (kWh)_t-360min,743.3786799400796
HU-UA Schedule_t+150min,743.1677719268662
Estimated Solar Power Production (Intraday)_t+60min,741.7297847882701
Estimated Wind Power Production (Day-Ahead)_t+240min,740.2650543630034
HU-RS_t-600min,739.9216615129566
HU-RO_t-285min,739.1053403711319
HU-AT,738.1595836965294
HU-AT_t-60min,738.155411618129
Gross Certified System Load (Actual)_t-585min,736.4333080316189
Estimated Solar Power Production (Day-Ahead)_t+255min,733.9918201284984
HU-UA_t-165min,732.0925332249694
Activated Negative aFRR Balancing Energy (kWh)_t-285min,731.4289338605265
HU-HR Schedule_t+135min,730.7730052629469
Solar Power Plants Net (Operational Control)_t-195min,730.2399214890577
Requested Negative aFRR Balancing Energy (kWh)_t-495min,726.8925216780633
Activated Negative aFRR Balancing Energy (kWh)_t-420min,724.7619519511552
HU-RO_t-255min,724.5941784899617
HU-AT_t-45min,724.5423891391172
HU-UA Schedule_t+165min,724.5156461907275
temp_mean_t+75min,724.464878563843
HU-UA Schedule_t+525min,723.5694215738712
HU-SK Schedule_t+105min,723.3748253834357
HU-UA Schedule_t+630min,723.0685093839621
HU-SK Schedule_t+180min,720.2908512130034
HU-RO Schedule_t+375min,719.204312096113
HU-SK_t-435min,718.4511515973662
Gross Actual Power Plant Generation_t-75min,717.559386068661
Negative GCC Energy (kWh)_t-540min,714.5713212002478
Gross System Load Forecast (Day-Ahead)_t+480min,712.9595024910562
Requested Negative aFRR Balancing Energy (kWh)_t-585min,712.1410818002896
Gross System Load Forecast (Day-Ahead)_t+255min,711.84761305861
temp_mean_t+45min,710.9432060504746
Estimated Wind Power Production (Day-Ahead)_t+225min,710.4916075106668
HU-SK_t-510min,710.1659444160409
HU-RO Schedule_t+345min,708.3506361653199
Gross Actual Power Plant Generation_t-510min,706.2912551301116
