feature,mean_abs_shap
Gross Planned System Load_t-45min,6.4745398
Net Planned System Generation_t-45min,6.469203
Solar Power Plants Net (Operational Control)_t-585min,6.457901
HU-RO Schedule_t+135min,6.452379
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-420min,6.4034834
Activated Positive aFRR Balancing Energy (kWh)_t-285min,6.388913
HU-AT_t-510min,6.373187
Activated Negative aFRR Balancing Energy Cost (HUF)_t-120min,6.3600287
HU-UA_t-420min,6.3483305
temp_std_t+135min,6.347829
Gross Planned System Load_t-105min,6.3469667
Activated Negative aFRR Balancing Energy Cost (HUF)_t-585min,6.3453603
HU-HR Schedule_t+150min,6.3436923
HU-HR Schedule_t+510min,6.322698
HU-AT,6.3140607
Gross Planned System Load_t-540min,6.311688
temp_avg_t+240min,6.311198
Estimated Wind Power Production (Intraday)_t+300min,6.304419
HU-HR_t-240min,6.2893414
Requested Negative aFRR Balancing Energy (kWh)_t-195min,6.278577
Requested Positive aFRR Balancing Energy (kWh)_t-300min,6.268813
HU-HR Schedule_t+540min,6.2614565
temp_avg_t+210min,6.2435474
Activated Positive aFRR Balancing Energy (kWh)_t-345min,6.2220764
Activated Positive aFRR Balancing Energy (kWh)_t-60min,6.2186327
HU-SK_t-345min,6.2154937
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-495min,6.2132707
Activated Negative aFRR Balancing Energy Cost (HUF)_t-135min,6.195625
Activated Positive aFRR Balancing Energy (kWh)_t-390min,6.1902432
HU-AT Schedule_t+285min,6.1828322
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-285min,6.1824718
Activated Negative aFRR Balancing Energy Cost (HUF)_t-15min,6.1582756
Activated Negative aFRR Balancing Energy Cost (HUF)_t-495min,6.1400037
Activated Positive aFRR Balancing Energy Cost (HUF)_t-255min,6.1075845
Activated Positive aFRR Balancing Energy (kWh)_t-120min,6.0998716
Negative GCC Energy (kWh)_t-90min,6.0989947
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-165min,6.086952
HU-AT Schedule_t+495min,6.0808845
Estimated Solar Power Production (Day-Ahead)_t+600min,6.0801077
HU-UA_t-390min,6.0669446
HU-SK Schedule_t+15min,6.063858
HU-RO Schedule_t+360min,6.0565443
HU-RO Schedule_t+225min,6.0251765
Wind Power Actual - Net Commercial Settlement_t-600min,6.011994
HU-HR_t-600min,6.008792
Gross System Load Forecast (Day-Ahead)_t+135min,6.0078664
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-480min,6.006191
HU-RO Schedule_t+660min,6.001891
temp_std_t+435min,5.9723587
Estimated Wind Power Production (Current)_t+105min,5.960075
temp_avg_t+30min,5.9595065
HU-RO Schedule_t+45min,5.950746
Activated Positive aFRR Balancing Energy (kWh)_t-225min,5.9303126
Activated Negative aFRR Balancing Energy (kWh)_t-540min,5.9240627
HU-HR Schedule_t+465min,5.914658
Estimated Wind Power Production (Current)_t+135min,5.9111443
Activated Negative aFRR Balancing Energy Cost (HUF)_t-45min,5.909387
HU-RS_t-405min,5.8955197
Estimated Solar Power Production (Day-Ahead)_t+180min,5.881413
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-300min,5.875483
HU-SK Schedule_t+225min,5.8675904
Activated Negative aFRR Balancing Energy (kWh)_t-420min,5.8574796
Activated Negative aFRR Balancing Energy (kWh)_t-555min,5.8535743
HU-RO Schedule_t+465min,5.849276
HU-AT Schedule_t+300min,5.817991
Estimated Solar Power Production (Day-Ahead)_t+285min,5.7899485
Requested Positive aFRR Balancing Energy (kWh)_t-60min,5.782404
Estimated Wind Power Production (Current)_t+90min,5.7767224
Activated Positive aFRR Balancing Energy (kWh)_t-360min,5.7691083
Requested Negative aFRR Balancing Energy (kWh)_t-570min,5.7412043
temp_avg_t+165min,5.729668
Gross System Load Forecast (Day-Ahead)_t+510min,5.723722
HU-AT Schedule_t+45min,5.720531
Requested Negative aFRR Balancing Energy (kWh)_t-405min,5.71985
HU-HR Schedule_t+285min,5.7159767
HU-AT Schedule_t+450min,5.7100744
HU-SK_t-270min,5.7071185
HU-HR Schedule,5.6906266
HU-RO Schedule_t+480min,5.689774
Requested Negative aFRR Balancing Energy (kWh)_t-210min,5.673416
temp_avg_t+75min,5.6704125
HU-AT Schedule_t+225min,5.669078
Activated Negative aFRR Balancing Energy (kWh)_t-135min,5.6634064
Gross System Load Forecast (Day-Ahead)_t+660min,5.6626635
Gross System Load Forecast (Day-Ahead)_t+390min,5.661829
HU-AT Schedule_t+15min,5.6498194
HU-UA_t-255min,5.641571
HU-SK_t-600min,5.6357555
Gross Planned Power Plant Generation_t+90min,5.623313
HU-RO Schedule_t+240min,5.6171694
Gross Planned System Load_t-15min,5.614195
HU-UA_t-405min,5.60901
Net Planned System Load_t-45min,5.607941
HU-RO Schedule_t+90min,5.591075
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-105min,5.583592
HU-RO Schedule_t+15min,5.5735993
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-270min,5.5730734
HU-AT_t-480min,5.5680733
Activated Positive aFRR Balancing Energy (kWh)_t-135min,5.5608335
HU-SK Schedule_t+660min,5.5478535
Gross Planned Power Plant Generation_t+75min,5.538734
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-345min,5.535132
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-285min,5.532053
